Rank,Gross Millions,Artist,Average Ticket Price,Average Tickets,Total Tickets,Average Gross,Cities/Shows,Agency,Number of Members,Instagram Followers,Years Active
1,277.3,Taylor Swift,124.99,"80,322","2,168,706","10,271,531",27/40,Messina Touring Group,1,"122,000,000",15
2,166.4,Jay-Z / Beyonc√©,128.23,"54,085","1,298,038","6,935,409",24/30,Live Nation,2,"135,000,000",27
3,166,Eagles,172.13,"21,428","964,245","3,688,308",45/53,Creative Artists Agency,3,nan,34
4,114.4,Kenny Chesney,88.15,"32,443","1,297,731","2,860,007",40/42,Dale Morris & Associates,1,"1,300,000",31
5,110,Justin Timberlake,138.87,"19,795","791,780","2,748,832",40/50,WME,1,"56,600,000",27
6,105,Ed Sheeran,92.42,"54,119","1,136,497","5,001,537",21/24,Paradigm Talent Agency,1,"346,000",15
7,97.8,Journey / Def Leppard,97.79,"17,246","1,000,272","1,686,460",58/60,CAA / Artist Group International,10,"823,000",40.5
8,95.3,Pink,138.46,"18,120","688,558","2,508,798",38/46,Marshall Arts,1,"7,200,000",24
9,88.3,Springsteen On Broadway,508.93,"4,231","173,461","2,153,146",41/183,Thrill Hill Productions,nan,nan,2
10,79,Drake,116.46,"35,706","678,410","4,158,145",19/43,WME,1,nan,18
11,73.3,Luke Bryan,73.66,"19,893","994,648","1,465,269",50/51,WME,1,"5,200,000",18
12,61.5,U2,140.39,"25,768","438,059","3,617,680",17/27,Live Nation Global Touring,4,"2,100,000",43
13,60.6,Bruno Mars,133.41,"26,730","454,415","3,566,036",17/31,WME,1,"22,100,000",15
14,59.4,Luis Miguel,110.28,"11,976","538,901","1,320,654",45/64,WME,1,"1,400,000",38
15,58.7,Billy Joel,120.94,"23,121","485,533","2,796,155",21/21,Artist Group International,7,"256,000",48
16,53.7,Trans-Siberian Orchestra,58.04,"16,234","925,345","942,297",57/94,WME,29,"54,200",23
17,48.5,Kevin Hart,73.48,"11,185","659,908","821,856",59/62,WME,1,"81,300,000",18
18,47.7,Dave Matthews Band,66.53,"19,365","716,489","1,288,333",37/46,Paradigm Talent Agency,7,"488,000",28
19,46.3,Dead & Company,76.82,"20,801","603,225","1,597,977",29/34,WME,6,"319,000",4
20,45.6,Shania Twain,85.8,"12,642","530,979","1,084,719",42/46,Creative Artists Agency,1,"1,000,000",36
21,42.9,Foo Fighters,75.62,"18,894","566,814","1,428,743",30/33,WME,6,"3,500,000",25
22,40.3,"Cirque du Soleil - ""Luzia""",88.3,"13,438","456,875","1,186,511",34/279,Cirque du Soleil Enter tainment Group,44,nan,35
23,39,Keith Urban,64.17,"10,477","607,650","672,284",58/62,Creative Artists Agency,1,"2,200,000",29
24,38.9,Phish,67.4,"36,101","577,620","2,433,347",16/38,Paradigm Talent Agency,4,"206,000",29
25,38.7,Cirque du Soleil - Crystalù,58.84,"19,348","657,831","1,138,449",34/249,Cirque du Soleil Enter tainment Group,nan,nan,35
26,38.1,Imagine Dragons,58.11,"17,234","654,905","1,001,485",38/41,Paradigm Talent Agency,4,"5,000,000",11
27,38,Phil Collins,144.35,"13,848","263,105","1,998,946",19/20,Solo Agency,1,"335,000",56
28,36.6,Romeo Santos,93.44,"11,513","391,457","1,075,829",34/38,Johnny Marines Enterprises,1,"17,000,000",24
29,35.3,Sam Smith,75.09,"12,039","469,522","903,966",39/41,WME,1,"13,900,000",12
30,34,Fleetwood Mac,129.48,"12,492","262,333","1,617,438",21/21,Creative Artists Agency,6,nan,51
31,33.7,Elton John,136.16,"20,663","247,960","2,813,597",17-Dec,The Howard Rose Agency,1,"2,300,000",57
32,33.7,Jason Aldean,53.91,"17,884","625,929","964,086",35/35,WME,1,"2,900,000",21
33,33.7,Jennifer Lopez,195.79,"3,830","172,332","749,787",Jan-45,Creative Artists Agency,1,"105,000,000",33
34,33.2,Andrea Bocelli,173,"14,762","191,911","2,553,874",13/14,Klassics Music Management Limited,1,"881,000",37
35,32.8,Chris Stapleton,59.87,"14,408","547,497","862,665",38/39,WME,1,"1,300,000",18
36,31.9,Zac Brown Band,57.76,"26,318","552,674","1,520,203",21/25,Creative Artists Agency,8,"780,000",17
37,31.6,Bon Jovi,102.16,"14,717","309,048","1,503,501",21/24,Creative Artists Agency,5,"1,200,000",34
38,31.3,Maroon 5,100.12,"13,597","312,720","1,361,349",23/25,WME,7,"7,400,000",25
39,30.8,Harry Styles,76.78,"18,228","401,010","1,399,446",22/25,Creative Artists Agency,1,"24,700,000",9
40,30.4,Kid Rock,72.63,"12,295","418,013","892,894",34/36,Creative Artists Agency,1,"540,000",30
41,27.5,Paul Simon,98.07,"13,329","279,919","1,307,250",21/24,Creative Artists Agency,1,"36,300",63
42,27.2,Lynyrd Skynyrd,51.16,"13,629","531,514","697,196",39/39,WME,7,"142,000",45
43,26.7,Metallica,126.82,"16,197","210,556","2,054,032",13/13,Artist Group International,4,"6,400,000",38
44,25.8,Rod Stewart,83.58,"11,417","308,266","954,282",27/28,Artist Group International,1,"347,000",68
45,25.2,J. Cole,80.8,"9,178","312,068","741,576",34/34,ICM Partners,1,nan,12
46,25.1,Cirque du Soleil - Voltaù,82.78,"12,110","302,756","1,002,483",25/191,Cirque du Soleil Enter tainment Group,nan,nan,35
47,25,Shakira,113.3,"12,976","220,588","1,470,137",17/18,Creative Artists Agency,1,"60,000,000",29
48,24.6,Katy Perry,88.35,"13,927","278,535","1,230,429",20/23,Creative Artists Agency,1,"86,900,000",18
49,24.6,Steve Martin / Martin Short,112.25,"3,368","218,895","378,021",65/71,WME,2,nan,50
50,24.2,Jay-Z,103.07,"15,673","235,097","1,615,352",15/17,Live Nation,1,154000,31
51,23.8,Pearl Jam,89.35,"66,550","266,198","5,946,451",7-Apr,WME,5,"2,200,000",29
52,22.3,Panic! At The Disco,59.64,"12,871","373,257","767,592",29/29,Creative Artists Agency,1,"5,100,000",15
53,21.8,Cirque du Soleil - Corteoù,63.48,"14,320","343,683","908,976",24/156,Cirque du Soleil Entertainment Group,nan,nan,35
